fold,source_pdb,trim,binder_len,binder_hotspots,n_designs,pass_pLDDT_gt_0.8,pass_ipTM_gt_0.5,pass_iPAE_lt_0.35,pass_RMSD_lt_3.5,pass_ALL,success_pct,ci95_low,ci95_high
top7,1QYS,3-94,91,"27-39,58-72",100,79,52,41,86,40,40.0,30.9,49.8
barrel,6D0T,1-111,111,"39-45,26-30",100,49,61,40,92,34,34.0,25.5,43.7
solenoid,3JX8,172-269,97,"70-76,48-52,28-32",100,46,28,18,53,17,17.0,10.9,25.5
iglike,3SD2,42-118,75,"49-56,7-12,28-36",100,20,32,20,83,14,14.0,8.5,22.1
ankyrin,5AAO,12-136,125,"50-57,62-83,116-123",100,17,32,18,13,2,2.0,0.6,7.0
tim,5BVL,1-184,180,"136-149,160-170,3-15",100,41,6,1,52,1,1.0,0.2,5.4
